Estado,Métrica,Fonte: Wikipedia,Fonte: IBGE
Paraná,Capital,Curitiba,Curitiba
Paraná,Densidade Demográfica,"57,42 hab./km²","57,42 hab/km²"
Paraná,Governador,Ratinho Júnior,CARLOS ROBERTO MASSA JUNIOR
Paraná,IDH,"0,769 -alto","0,769"
Paraná,População (Censo),11 444 380 hab.,11.444.380 pessoas
Paraná,Área Territorial,"199 307,922 km²","199.298,981 km²"
Rio Grande do Sul,Capital,Porto,Porto Alegre
Rio Grande do Sul,Densidade Demográfica,"39,86 hab./km²","38,63 hab/km²"
Rio Grande do Sul,Governador,Eduardo Leite,EDUARDO FIGUEIREDO CAVALHEIRO LEITE
Rio Grande do Sul,IDH,"0,771 -alto","0,771"
Rio Grande do Sul,População (Censo),10 882 965 hab.,10.882.965 pessoas
Rio Grande do Sul,Área Territorial,"281 730,223 km²","281.707,151 km²"
Santa Catarina,Capital,Florianópolis,Florianópolis
Santa Catarina,Densidade Demográfica,"84,18 hab./km²","79,50 hab/km²"
Santa Catarina,Governador,Jorginho Mello,JORGINHO DOS SANTOS MELLO
Santa Catarina,IDH,"0,792 -alto","0,792"
Santa Catarina,População (Censo),7 610 361 hab.,7.610.361 pessoas
Santa Catarina,Área Territorial,"95 730,690 km²","95.730,690 km²"
